gender,age,monthly_fee,usage_hours,logins_per_week,days_active,last_payment_amount,churn
Female,42,45.99,24.1,1,113,46.47,1
Male,39,34.3,12.2,1,55,8.26,0
Female,39,19.77,22.1,6,151,19.49,1
Female,59,29.93,1.1,5,174,36.49,1
Male,23,23.21,20.7,4,39,44.11,0
Male,32,47.35,6.5,6,50,33.55,0
Male,60,10.3,22.8,6,158,12.91,1
Male,54,19.01,1.0,2,73,33.73,0
Male,50,24.61,14.3,1,97,14.84,1
Male,25,29.51,19.2,5,68,35.92,0
Male,61,44.03,7.2,4,169,47.7,0
Male,61,13.52,5.6,6,53,36.07,1
Female,22,42.23,3.0,4,153,43.14,0
Female,56,12.23,8.8,2,78,0.11,0
Male,21,43.69,14.4,5,196,35.88,0
Female,23,12.07,3.8,6,9,41.48,1
Female,62,10.73,10.0,4,104,2.03,0
Female,49,37.88,1.2,1,74,43.58,1
Female,47,49.89,20.6,2,94,12.83,0
Male,64,45.86,4.1,5,8,33.26,1
Female,52,33.04,7.8,2,130,40.02,1
Male,57,46.7,1.4,1,43,33.13,0
Female,33,10.21,11.4,5,167,4.61,0
Female,30,49.0,21.2,2,133,29.82,0
Female,59,29.63,10.4,3,28,27.48,0
Male,47,38.92,5.3,1,61,45.02,0
Female,36,42.83,19.1,1,104,20.21,0
Male,34,38.74,19.9,1,74,16.05,0
Female,36,31.4,5.2,3,45,37.49,0
Male,45,29.06,19.5,3,186,20.63,0
Female,43,43.54,23.7,4,178,32.3,0
Male,54,18.2,5.0,6,64,32.32,1
Male,43,48.72,19.5,2,112,44.4,0
Female,40,38.44,18.0,4,192,29.93,0
Male,26,17.98,12.4,2,61,25.11,0
Female,29,39.45,2.4,6,35,6.94,1
Female,18,31.19,2.8,3,88,5.79,1
Female,18,38.29,21.5,6,156,7.72,1
Female,64,40.71,24.8,3,40,8.59,1
Female,51,13.49,17.2,6,162,31.89,0
Female,49,30.24,11.7,4,156,37.05,1
Female,42,47.28,16.5,5,112,26.5,1
Female,57,22.83,15.3,4,110,41.45,0
Female,62,33.76,10.2,2,162,49.56,1
Female,18,24.77,2.6,4,90,41.0,0
Female,33,28.17,20.7,1,139,34.74,0
Male,56,31.94,9.9,2,167,26.62,0
Male,22,31.96,20.7,6,187,22.44,0
Female,39,18.07,7.1,2,18,4.22,1
Female,46,37.38,1.0,5,124,19.97,0
Female,20,13.51,4.8,3,142,45.51,0
Female,29,15.55,12.2,6,84,40.4,0
Female,43,10.11,23.7,2,148,10.8,1
Female,33,14.67,3.5,6,186,23.33,0
Female,54,28.93,21.5,6,110,40.84,0
Female,39,34.24,13.6,6,74,3.37,1
Male,46,41.77,20.8,3,48,19.37,1
Female,31,14.27,8.2,4,77,42.59,0
Male,45,44.03,21.2,6,49,20.19,1
Female,22,39.84,19.5,1,188,3.88,1
Female,64,26.34,6.5,5,111,27.13,1
Male,47,47.32,4.2,3,88,43.09,0
Female,63,49.64,21.8,2,86,29.51,0
Male,22,18.2,24.1,3,111,11.31,0
Female,29,25.17,1.8,2,189,19.21,0
Female,33,47.06,18.6,3,25,22.51,0
Male,43,38.86,22.8,2,182,28.96,0
Female,43,11.92,21.6,6,165,37.97,0
Male,38,41.26,24.1,4,11,4.94,0
Female,56,43.12,19.2,2,74,44.48,0
Male,53,40.02,11.6,2,131,0.62,1
Male,50,41.98,8.5,1,147,18.5,0
Female,47,43.01,8.7,2,164,1.37,0
Female,54,17.46,18.4,1,152,19.65,1
Male,40,19.43,18.9,5,147,26.29,0
Female,27,35.35,5.8,6,180,25.58,1
Female,22,46.31,21.8,1,153,8.28,1
Female,53,22.65,18.2,4,174,32.29,0
Male,51,33.53,14.5,6,158,2.24,1
Male,48,37.32,12.3,1,124,38.1,0
Male,27,28.08,14.0,6,132,47.33,0
Male,36,38.55,4.8,6,146,16.99,0
Male,49,45.99,5.9,6,61,25.86,0
Male,18,34.96,3.2,5,169,18.95,1
Male,22,31.59,4.7,4,62,0.34,0
Male,62,27.55,11.9,3,25,19.29,0
Male,21,33.1,13.7,3,86,39.59,0
Female,33,24.21,1.4,1,73,29.8,0
Male,41,25.66,20.1,6,135,5.06,0
Female,33,31.27,8.1,1,91,42.36,0
Female,19,12.66,22.9,5,169,26.55,1
Female,45,19.16,24.2,5,53,42.09,0
Male,49,31.71,5.5,2,151,29.01,0
Male,44,27.26,12.1,5,119,27.98,0
Male,37,23.31,1.0,2,93,5.26,0
Male,41,39.22,15.4,4,89,8.37,1
Female,29,37.75,15.6,1,132,48.6,0
Male,52,16.67,6.9,4,144,11.42,0
Male,50,45.15,14.4,5,193,48.87,0
Male,50,29.82,6.4,4,173,26.6,1
Male,60,39.66,4.9,4,165,6.79,0
Male,54,32.93,16.6,4,182,4.97,0
Female,29,49.91,8.8,5,121,10.44,1
Male,20,40.1,15.2,6,131,46.28,0
Female,18,38.28,11.4,4,75,20.71,1
Male,50,41.14,24.6,2,90,19.77,1
Female,57,15.73,4.6,5,37,15.66,0
Male,27,18.18,12.2,4,85,7.35,0
Male,60,38.56,17.3,6,156,24.39,0
Female,61,29.76,10.5,5,65,6.5,0
Female,46,40.19,24.4,3,65,41.77,1
Female,30,14.12,18.3,6,102,18.52,0
Male,29,31.46,16.8,2,32,18.74,0
Female,48,25.15,19.2,4,190,23.7,1
Male,63,28.28,23.9,3,47,22.21,0
Male,19,34.16,22.8,3,173,49.74,0
Female,52,30.09,18.4,5,171,27.27,0
Female,40,31.59,19.0,3,90,4.41,0
Male,34,29.45,4.5,2,181,30.34,1
Male,43,26.36,3.5,2,21,7.58,0
Female,25,40.88,14.7,1,102,1.55,0
Female,46,10.49,1.4,2,102,48.54,0
Female,43,33.94,12.6,6,69,38.68,0
Male,27,32.62,6.0,3,78,49.01,0
Male,43,38.65,9.3,2,89,23.89,0
Male,51,33.96,19.6,5,9,26.61,0
Male,58,43.07,23.6,1,6,8.42,1
Male,24,48.36,2.7,3,26,12.35,0
Male,21,23.7,13.8,1,116,41.93,0
Female,62,19.09,22.2,3,61,17.81,0
Male,28,26.94,3.0,5,70,41.34,1
Male,46,21.52,20.8,1,78,35.45,1
Male,53,34.6,9.6,4,102,8.86,0
Female,42,46.47,8.7,6,148,25.37,1
Male,38,15.56,24.5,6,116,33.87,0
Male,53,14.03,5.8,3,183,11.75,0
Female,27,20.24,17.6,4,129,41.53,0
Male,54,39.04,20.7,1,171,27.24,0
Male,26,33.72,2.0,4,90,8.26,1
Male,41,14.09,17.1,4,80,29.15,0
Male,52,46.75,23.8,1,92,49.99,0
Male,52,41.6,4.0,5,172,7.53,1
Female,53,10.92,22.5,4,42,40.84,0
Female,35,36.05,15.3,4,192,10.37,0
Female,56,40.85,15.8,5,63,39.12,0
Male,49,24.98,15.7,4,142,36.73,0
Male,41,12.76,8.2,4,103,15.02,0
Male,40,13.09,23.4,4,196,16.29,0
Female,49,14.17,23.7,6,67,39.63,0
Male,54,43.62,16.0,2,53,23.07,0
Male,29,46.43,19.8,5,196,36.54,1
Female,30,14.91,15.7,4,36,7.4,0
Male,40,19.44,12.6,6,139,42.63,0
Female,42,16.62,16.9,5,25,35.54,0
Female,52,17.45,14.3,3,24,45.35,0
Female,58,43.5,15.3,3,158,6.62,0
Male,47,23.29,19.8,4,131,29.65,0
Male,34,22.46,12.5,6,72,29.96,0
Male,37,19.1,2.0,6,114,17.67,1
Male,42,34.32,4.9,5,120,22.92,0
Male,39,25.17,11.5,5,147,1.9,1
Male,30,39.77,18.4,6,124,37.29,0
Male,36,18.22,15.2,5,83,27.47,1
Female,53,41.51,16.6,6,120,2.89,0
Male,29,34.15,12.5,2,96,34.04,1
Female,58,14.57,15.8,6,18,23.34,0
Male,36,26.58,8.9,3,159,1.72,0
Male,29,44.54,12.3,5,129,48.48,0
Male,26,46.92,18.9,6,172,47.46,1
Female,24,28.63,21.9,6,62,25.65,0
Female,45,29.23,11.4,5,32,4.68,0
Female,31,46.74,2.0,2,30,37.73,0
Female,48,33.48,4.9,2,117,24.6,0
Male,36,11.31,1.5,5,195,15.12,0
Female,64,46.51,16.7,1,70,24.57,0
Male,33,19.93,9.0,5,157,26.12,1
Male,22,33.11,14.0,5,135,28.14,1
Female,52,16.62,12.8,2,48,22.06,1
Female,29,11.36,3.0,2,101,30.29,0
Female,42,22.46,10.7,5,46,45.94,1
Female,38,41.22,6.3,5,10,18.11,1
Female,53,21.1,11.0,5,171,36.29,0
Female,40,18.8,5.9,2,184,44.72,0
Female,33,18.51,21.2,5,27,22.8,0
Female,56,30.61,5.2,5,93,22.17,1
Male,62,49.02,24.1,4,127,30.11,0
Female,59,28.36,11.0,1,182,29.57,0
Female,56,32.29,21.3,3,175,40.33,0
Male,31,44.43,16.1,1,151,23.82,1
Female,48,31.4,18.6,4,55,49.81,1
Male,22,17.38,19.4,3,15,2.97,1
Male,52,21.98,13.1,5,16,0.16,0
Female,40,22.4,14.0,4,78,32.01,0
Male,46,25.89,13.3,5,12,14.92,0
Male,60,27.07,15.1,2,156,12.02,0
Male,28,41.99,1.7,6,45,15.59,0
Male,35,23.98,10.5,4,168,12.8,0
Female,64,28.73,15.5,2,89,1.54,0
Male,29,35.0,15.3,4,76,48.58,0
Female,26,25.11,20.0,4,59,11.04,1
Male,27,43.46,16.7,2,141,36.7,0
Male,61,33.5,24.8,3,51,38.13,1
Male,34,21.76,7.8,1,147,46.46,0
Male,55,38.56,9.6,5,180,1.53,0
Female,24,31.11,10.2,4,108,43.6,0
Female,63,31.38,12.2,5,46,26.36,0
Male,30,29.24,21.1,6,64,31.63,0
Male,57,29.88,6.7,2,16,32.22,0
Female,59,40.61,19.6,5,134,40.99,0
Male,26,14.12,10.7,2,11,16.67,0
Male,44,23.37,15.4,5,84,36.65,0
Male,19,13.02,16.2,1,135,26.43,1
Female,22,40.13,9.9,1,113,39.67,1
Female,46,20.89,13.3,1,7,49.53,1
Female,54,45.9,10.9,1,31,10.03,0
Male,55,31.06,2.7,1,118,49.73,1
Male,36,42.03,11.5,1,111,4.49,1
Female,25,49.16,3.3,2,44,0.12,0
Female,62,43.59,10.7,4,165,2.21,1
Female,18,44.68,15.2,5,133,17.09,0
Female,39,26.32,14.9,1,12,31.65,1
Male,34,32.07,16.9,2,105,3.45,1
Female,24,20.16,3.3,2,164,0.28,0
Male,42,17.84,16.7,2,128,46.85,0
Female,62,30.22,8.5,4,180,41.1,1
Male,21,33.8,10.6,5,111,40.46,0
Female,53,23.57,21.6,4,105,44.22,0
Female,23,32.78,1.2,3,8,35.0,1
Female,48,45.5,15.1,2,114,5.22,0
Female,36,32.27,15.4,3,23,19.96,0
Male,61,38.83,10.5,6,36,36.16,0
Female,56,42.21,6.7,1,141,14.02,0
Male,44,49.55,6.6,1,16,34.37,0
Male,27,34.13,22.2,4,143,1.22,0
Male,43,42.27,11.6,5,50,15.31,0
Male,36,48.51,8.9,3,123,27.46,0
Female,56,47.78,11.8,5,20,31.6,1
Male,20,15.64,17.1,4,133,28.85,0
Male,62,26.26,4.5,1,67,34.89,0
Male,30,22.96,11.8,5,113,0.3,0
Female,45,13.48,15.1,5,123,5.05,0
Female,37,35.33,23.8,1,25,43.45,0
Female,45,39.44,7.1,3,162,34.09,0
Female,25,43.93,9.6,1,17,5.65,1
Male,58,14.91,10.1,5,166,42.1,0
Male,56,45.06,15.5,3,8,12.11,0
Female,18,35.72,9.6,3,160,23.91,0
Male,20,38.16,13.8,1,106,7.26,0
Male,30,46.42,19.8,5,63,35.51,0
Male,45,34.99,17.9,4,132,33.34,0
Female,42,23.43,11.7,5,31,10.56,0
Female,50,43.0,21.7,2,73,43.17,1
Male,55,24.52,14.4,6,29,20.07,0
Female,23,11.37,14.0,4,135,14.63,0
Female,61,43.23,1.8,3,101,7.62,0
Female,62,23.81,24.7,4,29,13.31,0
Female,49,40.95,4.0,3,152,1.1,0
Female,62,24.51,6.5,3,166,29.16,0
Male,64,44.44,2.2,4,158,42.11,0
Female,38,18.78,16.4,3,130,27.45,0
Male,33,48.98,6.4,3,137,10.96,0
Male,38,41.19,5.3,2,193,1.68,0
Female,28,14.57,3.1,5,13,10.73,0
Male,54,32.63,3.5,5,120,20.81,0
Male,53,49.41,15.0,6,182,37.98,0
Male,52,28.84,17.5,6,138,9.39,1
Female,36,17.28,10.5,2,64,35.99,0
Female,37,29.39,12.5,6,176,43.35,1
Male,35,30.5,17.5,4,125,22.7,0
Female,64,39.67,1.4,1,143,41.07,0
Female,58,37.95,8.8,1,198,27.73,0
Female,31,26.1,24.4,1,179,31.85,0
Female,32,18.72,14.9,2,112,26.31,0
Male,48,35.8,7.1,2,112,23.16,1
Male,18,26.87,13.5,3,135,11.73,0
Female,20,15.29,9.2,1,80,15.16,1
Female,33,46.02,13.8,4,34,14.5,0
Male,40,37.65,4.0,6,25,28.16,1
Male,28,37.33,4.2,4,160,6.0,0
Female,29,42.9,4.4,6,194,45.84,1
Male,27,31.19,23.6,1,165,36.03,0
Female,49,42.6,18.6,1,167,20.07,0
Female,33,29.92,4.9,1,184,7.93,0
Male,25,12.69,5.5,2,38,44.1,1
Male,55,26.21,18.5,6,45,41.19,0
Female,29,29.9,4.7,2,55,36.09,1
Female,41,38.81,6.6,2,179,13.58,0
Male,45,14.26,24.1,5,86,20.12,1
Female,25,15.6,7.1,4,62,5.14,1
Male,45,20.55,16.9,4,79,9.45,1
Female,53,20.66,24.5,3,189,39.15,0
Male,43,39.29,10.0,2,27,35.75,0
Male,25,20.03,1.4,6,180,29.67,1
Male,45,35.32,6.9,5,132,44.79,0
Female,45,29.77,20.9,5,154,29.16,0
Female,54,32.93,21.8,4,21,23.35,0
Male,58,43.52,19.4,2,73,17.02,1
Female,53,26.18,3.7,3,112,47.02,0
Male,44,40.84,20.1,2,143,4.14,0
Male,34,26.88,23.0,1,98,46.54,1
Female,26,24.15,15.4,2,19,41.34,0
Female,50,48.35,23.6,1,95,6.5,1
Male,37,17.37,20.8,1,167,28.25,0
Female,30,13.61,17.0,3,37,43.33,0
Female,45,40.84,14.9,6,129,28.59,0
Male,46,12.73,9.4,4,20,45.36,0
Male,30,43.48,4.8,2,166,47.15,1
Female,63,27.49,15.5,1,70,21.12,0
Male,52,46.62,8.6,2,172,18.87,0
Male,23,38.86,21.8,6,160,46.82,0
Female,35,34.42,24.8,4,51,33.76,0
Male,22,47.97,19.1,6,171,5.8,0
Male,64,25.87,3.2,4,152,2.11,0
Female,42,48.16,7.9,5,128,28.23,0
Female,19,15.4,3.6,4,5,46.51,1
Male,27,29.35,16.6,3,91,42.21,0
Male,47,20.8,19.4,6,132,33.79,0
Female,62,31.59,23.2,1,195,6.96,0
Female,22,16.48,11.5,5,71,12.71,1
Female,50,43.66,22.6,3,8,43.78,0
Female,18,43.86,22.1,2,190,9.14,0
Male,35,48.21,8.6,6,157,13.92,0
Female,49,16.19,21.9,1,51,6.48,1
Female,64,34.93,10.0,4,42,33.81,0
Male,28,28.97,8.1,1,147,47.2,1
Female,38,23.78,16.6,2,195,13.45,0
Male,43,24.06,8.9,5,25,23.77,0
Female,42,26.51,16.1,5,61,31.72,1
Female,39,38.2,15.6,6,121,49.97,0
Female,44,33.93,14.5,5,185,5.24,1
Male,30,28.39,10.1,6,50,24.93,1
Male,50,13.04,14.2,6,146,19.26,1
Female,51,13.11,15.3,6,149,43.29,0
Male,58,10.09,14.1,4,43,23.8,1
Male,52,48.71,11.7,3,141,5.55,0
Male,18,10.21,1.4,6,103,31.72,1
Male,38,14.12,15.1,6,81,38.54,0
Male,23,22.58,5.0,3,119,0.14,1
Male,45,42.3,16.4,1,138,42.95,0
Female,34,48.48,19.2,6,155,9.3,0
Female,22,41.6,13.0,4,191,27.6,0
Male,48,37.62,14.0,5,95,20.79,1
Female,22,30.85,23.8,5,102,35.98,0
Female,55,13.47,21.3,2,124,18.56,0
Female,20,48.33,22.9,2,50,43.49,1
Female,40,40.34,20.5,5,42,36.52,0
Male,54,35.56,3.6,5,146,32.39,0
Female,54,40.36,4.6,4,104,39.81,0
Female,27,38.96,13.6,3,76,37.7,0
Male,27,35.49,6.9,2,194,1.8,0
Male,36,49.22,12.4,3,39,19.74,0
Female,34,46.13,10.5,4,151,46.54,0
Female,38,35.87,14.2,5,34,6.29,0
Female,31,37.73,18.9,6,82,36.85,1
Female,26,12.06,18.2,3,88,48.73,0
Female,63,36.8,13.5,5,117,2.61,0
Female,18,11.77,20.7,5,29,34.11,1
Male,62,33.53,11.3,1,172,23.41,0
Female,30,49.97,22.5,3,92,28.96,0
Female,21,32.23,2.7,6,18,4.27,1
Male,18,28.93,23.9,3,158,2.15,1
Male,57,22.51,16.7,5,106,33.34,1
Male,49,14.82,10.1,6,154,41.17,1
Male,51,39.24,5.7,4,180,39.1,1
Female,45,17.7,12.5,1,87,27.19,0
Female,48,14.61,5.7,5,114,4.99,1
Female,25,26.87,5.0,2,183,34.4,0
Female,56,41.81,15.8,2,135,12.09,1
Female,43,39.8,13.6,1,174,45.55,0
Female,51,12.2,17.1,4,23,41.91,0
Male,20,28.21,23.3,5,32,35.47,0
Female,29,30.9,13.8,3,177,47.44,1
Male,18,35.78,14.9,1,75,1.57,0
Male,61,36.01,3.2,4,67,36.81,1
Female,22,24.59,18.2,3,77,16.51,1
Male,47,32.43,10.6,2,128,45.3,0
Female,47,29.24,24.4,2,123,13.33,1
Male,34,45.4,20.8,3,125,36.24,1
Female,64,31.21,13.5,1,23,43.88,0
Male,40,27.64,4.0,2,179,2.08,0
Female,32,26.18,21.6,5,146,19.88,0
Female,54,32.9,20.2,6,124,38.12,0
Female,38,42.16,5.4,3,170,22.75,0
Female,31,31.54,8.1,3,185,13.36,1
Female,19,36.47,20.0,2,65,10.99,0
Male,28,39.51,5.4,1,168,6.58,1
Male,56,30.81,23.0,5,172,42.86,0
Male,55,27.07,11.2,1,34,28.77,0
Female,51,45.07,3.1,4,13,3.82,1
Male,55,26.7,20.6,4,68,19.13,1
Female,51,28.48,10.0,6,165,18.39,0
Female,35,49.61,13.6,2,124,9.09,0
Male,47,10.01,3.7,2,56,21.78,0
Male,32,17.42,1.1,2,93,16.6,0
Female,44,25.36,16.3,6,146,17.09,0
Male,51,47.3,13.4,4,57,36.95,0
Female,55,12.8,15.2,1,191,11.16,0
Female,50,10.38,20.0,6,82,32.09,1
Female,41,12.11,16.5,6,45,28.53,0
Female,32,13.54,5.2,1,72,28.4,0
Female,47,11.5,9.7,2,12,33.15,0
Male,59,29.19,22.7,5,6,27.42,1
Male,34,33.23,19.5,1,109,43.96,1
Female,22,20.87,14.4,4,129,33.78,0
Female,46,25.93,7.1,3,114,27.35,1
Male,21,13.67,8.2,3,90,41.49,0
Male,27,23.45,18.6,6,173,30.31,0
Female,34,30.9,21.4,3,124,14.56,0
Male,27,39.29,17.1,5,131,10.35,0
Female,34,10.13,20.4,2,187,7.62,1
Male,37,28.69,19.4,4,20,44.97,1
Female,41,21.88,4.6,5,66,35.51,0
Male,22,44.11,11.2,4,117,46.87,0
Female,51,38.62,4.7,4,180,30.16,0
Male,23,33.56,6.6,2,162,23.67,0
Male,19,21.09,21.9,6,16,2.99,0
Female,30,46.41,12.3,3,39,33.58,0
Male,60,11.8,13.8,2,15,29.11,0
Female,60,14.38,5.3,5,68,49.51,0
Male,28,25.67,8.5,6,54,11.96,0
Female,64,14.98,6.5,5,153,26.54,0
Male,40,48.26,5.9,6,73,32.55,1
Female,33,41.92,16.3,5,52,32.23,0
Male,48,20.36,7.2,2,24,28.06,1
Female,28,33.54,16.2,6,105,38.85,0
Male,33,49.29,2.4,6,199,10.25,1
Female,25,45.37,4.4,4,176,36.28,1
Female,21,34.03,7.6,4,165,30.99,0
Female,57,46.15,15.3,1,193,44.8,0
Male,21,49.57,17.2,5,141,42.36,1
Female,42,39.73,11.6,4,72,15.76,0
Male,20,12.6,11.7,1,39,13.81,0
Female,49,26.06,18.4,4,69,49.08,0
Male,20,43.51,1.4,5,12,26.36,0
Female,44,19.22,9.2,6,49,45.32,0
Male,46,43.23,20.6,3,91,8.19,1
Male,49,14.81,15.5,5,179,32.14,0
Female,36,11.88,9.1,2,172,40.49,0
Male,38,25.36,22.7,4,80,47.37,1
Male,22,11.47,19.5,4,186,16.87,0
Female,35,48.29,7.4,6,80,36.25,1
Male,45,43.05,16.5,2,178,26.94,0
Male,59,42.03,15.3,6,51,3.03,0
Male,39,35.19,10.6,2,19,34.5,1
Female,38,18.65,9.8,3,109,34.5,0
Male,23,30.73,9.2,4,151,46.53,1
Female,18,33.89,15.8,4,30,24.87,1
